LAD20CD,LAD20NM,CTYUA20CD,CTYUA20NM,GOV_NM,RGN19CD,RGN19NM,CTRY19CD,CTRY19NM,Tier
E07000179,South Oxfordshire,E10000025,Oxfordshire,Oxfordshire,E12000008,South East,E92000001,England,2
E07000180,Vale of White Horse,E10000025,Oxfordshire,Oxfordshire,E12000008,South East,E92000001,England,2
E07000181,West Oxfordshire,E10000025,Oxfordshire,Oxfordshire,E12000008,South East,E92000001,England,2
E07000187,Mendip,E10000027,Somerset,"South Somerset, Somerset West and Taunton, Mendip and Sedgemoor",E12000009,South West,E92000001,England,2
E07000188,Sedgemoor,E10000027,Somerset,"South Somerset, Somerset West and Taunton, Mendip and Sedgemoor",E12000009,South West,E92000001,England,2
E07000189,South Somerset,E10000027,Somerset,"South Somerset, Somerset West and Taunton, Mendip and Sedgemoor",E12000009,South West,E92000001,England,2
E07000192,Cannock Chase,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000193,East Staffordshire,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000194,Lichfield,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000195,Newcastle-under-Lyme,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000196,South Staffordshire,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000197,Stafford,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000198,Staffordshire Moorlands,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000199,Tamworth,E10000028,Staffordshire,Staffordshire and Stoke-on-Trent,E12000005,West Midlands,E92000001,England,3
E07000200,Babergh,E10000029,Suffolk,Suffolk,E12000006,East of England,E92000001,England,2
E07000202,Ipswich,E10000029,Suffolk,Suffolk,E12000006,East of England,E92000001,England,2
E07000203,Mid Suffolk,E10000029,Suffolk,Suffolk,E12000006,East of England,E92000001,England,2
E07000207,Elmbridge,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000208,Epsom and Ewell,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000209,Guildford,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000210,Mole Valley,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000211,Reigate and Banstead,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000212,Runnymede,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000213,Spelthorne,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000214,Surrey Heath,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000215,Tandridge,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000216,Waverley,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,2
E07000217,Woking,E10000030,Surrey,Surrey,E12000008,South East,E92000001,England,4
E07000218,North Warwickshire,E10000031,Warwickshire,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E07000219,Nuneaton and Bedworth,E10000031,Warwickshire,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E07000220,Rugby,E10000031,Warwickshire,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E07000221,Stratford-on-Avon,E10000031,Warwickshire,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E07000222,Warwick,E10000031,Warwickshire,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E07000223,Adur,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000224,Arun,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000225,Chichester,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000226,Crawley,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000227,Horsham,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000228,Mid Sussex,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000229,Worthing,E10000032,West Sussex,West Sussex,E12000008,South East,E92000001,England,2
E07000234,Bromsgrove,E10000034,Worcestershire,Worcestershire,E12000005,West Midlands,E92000001,England,2
E07000235,Malvern Hills,E10000034,Worcestershire,Worcestershire,E12000005,West Midlands,E92000001,England,2
E07000236,Redditch,E10000034,Worcestershire,Worcestershire,E12000005,West Midlands,E92000001,England,2
E07000237,Worcester,E10000034,Worcestershire,Worcestershire,E12000005,West Midlands,E92000001,England,2
E07000238,Wychavon,E10000034,Worcestershire,Worcestershire,E12000005,West Midlands,E92000001,England,2
E07000239,Wyre Forest,E10000034,Worcestershire,Worcestershire,E12000005,West Midlands,E92000001,England,2
E07000240,St Albans,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,3
E07000241,Welwyn Hatfield,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,3
E07000242,East Hertfordshire,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,3
E07000243,Stevenage,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,3
E07000244,East Suffolk,E10000029,Suffolk,Suffolk,E12000006,East of England,E92000001,England,2
E07000245,West Suffolk,E10000029,Suffolk,Suffolk,E12000006,East of England,E92000001,England,2
E07000246,Somerset West and Taunton,E10000027,Somerset,"South Somerset, Somerset West and Taunton, Mendip and Sedgemoor",E12000009,South West,E92000001,England,2
E08000001,Bolton,E08000001,Bolton,Greater Manchester,E12000002,North West,E92000001,England,3
E08000002,Bury,E08000002,Bury,Greater Manchester,E12000002,North West,E92000001,England,3
E08000003,Manchester,E08000003,Manchester,Greater Manchester,E12000002,North West,E92000001,England,3
E08000004,Oldham,E08000004,Oldham,Greater Manchester,E12000002,North West,E92000001,England,3
E08000005,Rochdale,E08000005,Rochdale,Greater Manchester,E12000002,North West,E92000001,England,3
E08000006,Salford,E08000006,Salford,Greater Manchester,E12000002,North West,E92000001,England,3
E08000007,Stockport,E08000007,Stockport,Greater Manchester,E12000002,North West,E92000001,England,3
E08000008,Tameside,E08000008,Tameside,Greater Manchester,E12000002,North West,E92000001,England,3
E08000009,Trafford,E08000009,Trafford,Greater Manchester,E12000002,North West,E92000001,England,3
E08000010,Wigan,E08000010,Wigan,Greater Manchester,E12000002,North West,E92000001,England,3
E08000011,Knowsley,E08000011,Knowsley,Liverpool City Region,E12000002,North West,E92000001,England,2
E08000012,Liverpool,E08000012,Liverpool,Liverpool City Region,E12000002,North West,E92000001,England,2
E08000013,St. Helens,E08000013,St. Helens,Liverpool City Region,E12000002,North West,E92000001,England,2
E08000014,Sefton,E08000014,Sefton,Liverpool City Region,E12000002,North West,E92000001,England,2
E08000015,Wirral,E08000015,Wirral,Liverpool City Region,E12000002,North West,E92000001,England,2
E08000016,Barnsley,E08000016,Barnsley,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000017,Doncaster,E08000017,Doncaster,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000018,Rotherham,E08000018,Rotherham,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000019,Sheffield,E08000019,Sheffield,South Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,Newcastle upon Tyne,E12000001,North East,E92000001,England,3
E08000022,North Tyneside,E08000022,North Tyneside,North Tyneside,E12000001,North East,E92000001,England,3
E08000023,South Tyneside,E08000023,South Tyneside,South Tyneside,E12000001,North East,E92000001,England,3
E08000024,Sunderland,E08000024,Sunderland,Sunderland,E12000001,North East,E92000001,England,3
E08000025,Birmingham,E08000025,Birmingham,Birmingham and Black Country,E12000005,West Midlands,E92000001,England,3
E08000026,Coventry,E08000026,Coventry,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E08000027,Dudley,E08000027,Dudley,Birmingham and Black Country,E12000005,West Midlands,E92000001,England,3
E08000028,Sandwell,E08000028,Sandwell,Birmingham and Black Country,E12000005,West Midlands,E92000001,England,3
E08000029,Solihull,E08000029,Solihull,"Warwickshire, Coventry and Solihull",E12000005,West Midlands,E92000001,England,3
E08000030,Walsall,E08000030,Walsall,Birmingham and Black Country,E12000005,West Midlands,E92000001,England,3
E08000031,Wolverhampton,E08000031,Wolverhampton,Birmingham and Black Country,E12000005,West Midlands,E92000001,England,3
E08000032,Bradford,E08000032,Bradford,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000033,Calderdale,E08000033,Calderdale,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000034,Kirklees,E08000034,Kirklees,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000035,Leeds,E08000035,Leeds,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000036,Wakefield,E08000036,Wakefield,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England,3
E08000037,Gateshead,E08000037,Gateshead,Gateshead,E12000001,North East,E92000001,England,3
E09000001,City of London,E09000001,City of London,City of London,E12000007,London,E92000001,England,4
E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,Barking and Dagenham,E12000007,London,E92000001,England,4
E09000003,Barnet,E09000003,Barnet,Barnet,E12000007,London,E92000001,England,4
E09000004,Bexley,E09000004,Bexley,Bexley,E12000007,London,E92000001,England,4
E09000005,Brent,E09000005,Brent,Brent,E12000007,London,E92000001,England,4
E09000006,Bromley,E09000006,Bromley,Bromley,E12000007,London,E92000001,England,4
E09000007,Camden,E09000007,Camden,Camden,E12000007,London,E92000001,England,4
E09000008,Croydon,E09000008,Croydon,Croydon,E12000007,London,E92000001,England,4
E09000009,Ealing,E09000009,Ealing,Ealing,E12000007,London,E92000001,England,4
E09000010,Enfield,E09000010,Enfield,Enfield,E12000007,London,E92000001,England,4
E09000011,Greenwich,E09000011,Greenwich,Greenwich,E12000007,London,E92000001,England,4
E09000012,Hackney,E09000012,Hackney,Hackney,E12000007,London,E92000001,England,4
E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,Hammersmith and Fulham,E12000007,London,E92000001,England,4
