date,nhs_name,sgtf,other
2020-12-27,South West,353,264
2020-12-28,East of England,988,176
2020-12-28,London,1642,199
2020-12-28,Midlands,1554,1054
2020-12-28,North East and Yorkshire,1166,1466
2020-12-28,North West,914,1080
2020-12-28,South East,1624,279
2020-12-28,South West,286,175
2020-12-29,East of England,2811,472
2020-12-29,London,3474,430
2020-12-29,Midlands,2995,1897
2020-12-29,North East and Yorkshire,2233,2172
2020-12-29,North West,2133,2207
2020-12-29,South East,3631,578
2020-12-29,South West,544,322
2020-12-30,East of England,1776,222
2020-12-30,London,5128,886
2020-12-30,Midlands,2886,1700
2020-12-30,North East and Yorkshire,2156,2434
2020-12-30,North West,2679,2592
2020-12-30,South East,3554,449
2020-12-30,South West,561,357
2020-12-31,East of England,1327,239
2020-12-31,London,5306,896
2020-12-31,Midlands,2662,1277
2020-12-31,North East and Yorkshire,1551,1508
2020-12-31,North West,1606,1326
2020-12-31,South East,2552,352
2020-12-31,South West,503,336
2021-01-01,East of England,2186,275
2021-01-01,London,2956,381
2021-01-01,Midlands,1938,957
2021-01-01,North East and Yorkshire,1066,987
2021-01-01,North West,1122,944
2021-01-01,South East,1968,215
2021-01-01,South West,375,133
2021-01-02,East of England,2402,333
2021-01-02,London,6608,781
2021-01-02,Midlands,3495,1679
2021-01-02,North East and Yorkshire,2075,1794
2021-01-02,North West,2165,1743
2021-01-02,South East,3980,467
2021-01-02,South West,634,368
2021-01-03,East of England,1380,121
2021-01-03,London,3064,241
2021-01-03,Midlands,2589,1081
2021-01-03,North East and Yorkshire,1951,1493
2021-01-03,North West,2389,1875
2021-01-03,South East,2010,176
2021-01-03,South West,531,246
2021-01-04,East of England,1638,186
2021-01-04,London,3880,227
2021-01-04,Midlands,3880,1492
2021-01-04,North East and Yorkshire,2875,1901
2021-01-04,North West,3099,2134
2021-01-04,South East,2568,227
2021-01-04,South West,825,375
2021-01-05,East of England,1670,150
2021-01-05,London,3891,241
2021-01-05,Midlands,3100,1090
2021-01-05,North East and Yorkshire,1931,1285
2021-01-05,North West,2439,1522
2021-01-05,South East,3197,302
2021-01-05,South West,709,319
2021-01-06,East of England,815,82
2021-01-06,London,997,62
2021-01-06,Midlands,2391,751
2021-01-06,North East and Yorkshire,1524,876
2021-01-06,North West,770,461
2021-01-06,South East,1175,108
2021-01-06,South West,29,13
2021-01-07,East of England,8,0
2021-01-07,London,4,2
2021-01-07,Midlands,7,1
2021-01-07,North East and Yorkshire,36,19
2021-01-07,North West,2,5
2021-01-07,South East,1,0
2021-01-07,South West,0,1
