sample_date,nhs,all,var2,nhs_name
2020-04-28,E40000005,25,0,South East
2020-04-28,E40000006,61,0,South West
2020-04-28,E40000007,56,0,East of England
2020-04-28,E40000008,27,0,Midlands
2020-04-28,E40000009,41,0,North East and Yorkshire
2020-04-28,E40000010,2,0,North West
2020-04-28,N99999999,15,0,Northern Ireland
2020-04-28,S99999999,50,0,Scotland
2020-04-28,W99999999,54,0,Wales
2020-04-29,E40000003,18,0,London
2020-04-29,E40000005,11,0,South East
2020-04-29,E40000006,49,0,South West
2020-04-29,E40000007,89,0,East of England
2020-04-29,E40000008,48,0,Midlands
2020-04-29,E40000009,52,0,North East and Yorkshire
2020-04-29,E40000010,5,0,North West
2020-04-29,N99999999,16,0,Northern Ireland
2020-04-29,S99999999,37,0,Scotland
2020-04-29,W99999999,54,0,Wales
2020-04-30,E40000003,36,0,London
2020-04-30,E40000005,14,0,South East
2020-04-30,E40000006,32,0,South West
2020-04-30,E40000007,85,0,East of England
2020-04-30,E40000008,30,0,Midlands
2020-04-30,E40000009,42,0,North East and Yorkshire
2020-04-30,E40000010,1,0,North West
2020-04-30,N99999999,16,0,Northern Ireland
2020-04-30,S99999999,57,0,Scotland
2020-04-30,W99999999,58,0,Wales
2020-05-01,E40000003,16,0,London
2020-05-01,E40000005,15,0,South East
2020-05-01,E40000006,41,0,South West
2020-05-01,E40000007,90,0,East of England
2020-05-01,E40000008,28,0,Midlands
2020-05-01,E40000009,33,0,North East and Yorkshire
2020-05-01,E40000010,11,0,North West
2020-05-01,N99999999,18,0,Northern Ireland
2020-05-01,S99999999,66,0,Scotland
2020-05-01,W99999999,48,0,Wales
2020-05-02,E40000003,24,0,London
2020-05-02,E40000005,9,0,South East
2020-05-02,E40000006,15,0,South West
2020-05-02,E40000007,47,0,East of England
2020-05-02,E40000008,22,0,Midlands
2020-05-02,E40000009,29,0,North East and Yorkshire
2020-05-02,E40000010,3,0,North West
2020-05-02,N99999999,21,0,Northern Ireland
2020-05-02,S99999999,24,0,Scotland
2020-05-02,W99999999,53,0,Wales
2020-05-03,E40000003,2,0,London
2020-05-03,E40000005,6,0,South East
2020-05-03,E40000006,19,0,South West
2020-05-03,E40000007,45,0,East of England
2020-05-03,E40000008,20,0,Midlands
2020-05-03,E40000009,24,0,North East and Yorkshire
2020-05-03,E40000010,12,0,North West
2020-05-03,N99999999,12,0,Northern Ireland
2020-05-03,S99999999,24,0,Scotland
2020-05-03,W99999999,21,0,Wales
2020-05-04,E40000003,17,0,London
2020-05-04,E40000005,13,0,South East
2020-05-04,E40000006,38,0,South West
2020-05-04,E40000007,87,0,East of England
2020-05-04,E40000008,28,0,Midlands
2020-05-04,E40000009,43,0,North East and Yorkshire
2020-05-04,E40000010,3,0,North West
2020-05-04,N99999999,23,0,Northern Ireland
2020-05-04,S99999999,32,0,Scotland
2020-05-04,W99999999,44,0,Wales
2020-05-05,E40000003,19,0,London
2020-05-05,E40000005,14,0,South East
2020-05-05,E40000006,22,0,South West
2020-05-05,E40000007,50,0,East of England
2020-05-05,E40000008,44,0,Midlands
2020-05-05,E40000009,72,0,North East and Yorkshire
2020-05-05,E40000010,29,0,North West
